li,age
-,57
',50.75
A,74.6234787975902547
B,74.8532489516095889
C,74.674226657081163
D,75.0306947842779147
E,75.0992830431599172
F,75.4267561046660737
G,74.9601353658489171
H,74.8429360026242982
I,75.4418894737148886
J,73.672730079460302
K,75.9258427278633762
L,75.0810924760625054
M,74.7689509603892518
N,75.3134667406645988
O,75.3924003951159999
P,74.9259149070512851
Q,74.7331429983611248
R,74.8615071233567798
S,75.199314896788085
T,74.4343068756777809
U,75.6492464977214091
V,75.1407471483088869
W,74.4541329281551583
X,71.7583625730994152
Y,74.7172126738768856
Z,76.5204631024877852
